82	84	83	83	82	84	84	85	84	82	82	81	82	84	85	83	84	86	84	84	87	86	85	86	83	81	84	84	84	84	84	83	80	82	83	84	82	84	84	85	86	84	85	86	86	86	85	85	85	87	86	86	86	86	84	85	86	88	87	85	85	86	86	84	86	87	86	87	87	87	87	85	86	87	86	86	84	86	87	86	86	87	87	88	89	89	86	89	89	87	87	89	89	87	87	86	87	85	85	87	85	85	85	85	85	85	86	85	87	86	85	88	88	87	89	88	87	87	86	87	86	85	86	87	87	87	87	86	86	87	88	86	87	87	86	86	86	87	88	88	87	87	88	88	88	88	87	89	88	88	89	87	85	87	90	91	88	90	88	89	88	88	87	88	88	88	89	90	91	89	89	87	87	90	87	88	89	87	86	87	87	86	88	88	86	85	84	86	86	87	90	88	90	87	87	85	84	86	85	85	85	83	83	87	93	91	90	90	90	88	85	87	88	87	87	88	88	88	88	87	89	89	88	87	87	87	88	90	86	87	89	88	89	91	90	89	90	89	88	89	88	85	87	84	84	83	81	82	83	84	84	83	84	84	85	85	85	83	82
83	84	83	83	83	84	83	82	83	83	83	83	85	85	85	81	86	86	86	86	84	87	86	86	84	83	84	83	83	82	85	83	81	83	85	83	81	82	84	83	84	84	85	85	86	85	85	86	87	87	85	87	85	87	83	83	86	88	88	88	86	85	86	85	85	88	88	87	87	87	86	87	86	87	87	84	87	86	86	86	85	86	87	86	88	88	86	88	90	86	88	87	89	87	87	87	87	85	85	85	83	88	86	84	84	84	85	85	85	86	89	88	87	86	88	87	86	87	86	86	86	86	86	87	88	87	86	86	87	89	87	88	87	87	87	87	86	87	88	88	87	89	91	89	87	88	88	90	89	89	87	86	88	87	89	89	88	90	89	90	89	90	89	90	89	88	90	89	90	90	90	85	86	88	86	86	87	85	83	86	85	84	86	89	87	87	89	91	88	86	87	85	86	86	88	87	84	87	85	83	85	86	89	91	92	88	89	89	89	89	87	87	90	89	87	89	88	87	88	89	88	87	87	87	87	87	87	89	88	87	88	89	88	89	88	87	87	87	89	87	84	83	85	84	84	83	82	82	83	84	84	83	84	83	83	84	83	84	83
83	83	83	84	81	83	84	83	84	84	84	85	84	85	85	82	83	86	84	86	84	86	85	85	84	83	85	86	84	84	86	80	81	83	83	85	82	82	84	86	83	86	86	85	85	86	85	85	85	84	85	86	87	88	84	86	86	86	84	86	86	87	86	85	85	87	88	87	87	86	87	85	84	85	88	86	86	85	87	86	86	85	85	86	87	88	88	88	89	87	86	87	88	87	88	86	85	85	83	86	86	83	85	85	85	85	85	85	86	86	86	88	88	87	89	87	86	87	86	85	86	87	86	88	89	87	86	87	87	90	87	87	87	87	87	87	86	87	89	89	87	87	89	88	89	90	88	89	88	87	87	87	86	88	89	89	87	90	87	88	88	89	86	88	89	90	88	89	89	88	89	89	87	87	86	88	87	86	84	85	83	85	88	90	90	89	90	89	87	87	88	86	86	87	86	85	84	84	85	88	89	90	88	88	90	89	88	87	89	89	88	85	88	89	86	89	88	88	85	87	90	87	91	87	87	86	88	89	87	88	88	88	89	89	90	88	86	87	86	87	84	85	85	83	83	84	82	82	83	84	83	83	84	84	83	84	85	83	83
83	83	83	83	83	84	83	83	84	84	84	84	85	86	85	83	86	86	84	85	85	83	84	85	83	82	84	86	85	83	85	82	81	84	82	84	83	84	82	85	83	86	85	85	85	86	85	85	85	85	86	87	85	86	84	85	86	87	86	84	86	85	86	86	87	86	86	88	88	87	87	86	85	87	87	84	86	85	84	87	85	86	87	87	89	88	86	87	88	87	87	88	90	87	88	86	85	85	84	84	84	86	85	84	84	85	84	86	88	87	89	88	87	87	90	86	86	88	87	86	87	87	87	87	88	87	88	86	87	88	87	85	86	86	86	88	87	86	86	87	87	88	90	89	89	89	88	89	88	87	87	88	86	88	90	89	87	89	89	91	89	87	87	88	89	88	90	90	91	86	88	87	87	87	85	84	83	83	83	84	86	89	90	94	90	88	87	88	88	88	86	85	84	83	84	83	87	90	90	90	88	86	88	90	91	87	89	89	90	88	87	86	88	89	87	88	88	86	87	87	90	88	90	87	88	88	88	88	87	88	88	88	88	88	89	88	87	89	88	89	85	84	85	83	85	84	83	81	83	84	83	82	83	83	83	83	83	83	83
83	84	83	82	82	82	82	83	84	83	83	83	84	85	83	82	84	84	84	85	85	85	84	85	84	83	84	83	85	83	84	82	80	83	83	86	84	83	85	85	85	85	85	85	84	86	86	86	86	85	86	89	87	86	84	84	85	87	86	85	87	87	87	85	87	86	86	87	87	86	87	87	85	87	86	85	86	86	87	87	86	86	87	87	89	89	86	88	89	88	88	87	90	88	88	87	86	86	84	86	85	85	86	84	84	84	84	88	86	88	87	88	88	87	88	87	86	87	88	88	88	86	86	87	86	87	88	88	86	89	87	87	87	86	87	87	85	86	87	88	87	89	88	87	86	88	87	90	88	87	89	86	86	88	90	89	87	90	86	89	90	90	88	89	89	88	89	89	89	86	87	86	85	87	84	85	86	85	87	87	90	90	90	93	89	88	87	88	87	85	85	85	83	85	87	89	90	92	89	86	83	87	88	89	91	89	87	89	90	89	88	87	88	88	87	86	88	87	87	87	88	90	90	88	87	89	89	88	88	89	88	89	89	89	89	88	88	87	86	87	85	84	84	83	83	83	83	83	83	83	83	84	84	82	83	84	83	84	83
81	83	82	83	82	84	83	82	83	84	83	83	83	84	85	82	85	86	85	86	85	85	85	85	84	83	84	83	83	84	84	84	81	84	85	85	82	83	83	85	86	84	85	85	84	85	85	85	87	86	85	86	85	86	86	85	86	87	85	85	86	86	85	85	85	86	87	87	86	87	85	85	84	87	86	86	87	85	86	85	85	85	86	86	88	88	86	88	87	87	87	88	90	90	89	87	86	87	85	87	85	85	84	85	87	85	85	88	88	87	86	87	88	87	88	87	87	88	87	89	88	86	87	88	88	86	86	88	88	90	84	87	86	88	88	86	86	86	88	87	87	89	89	88	88	89	87	90	86	88	87	88	88	86	90	89	87	89	90	89	88	89	86	89	88	88	89	89	89	86	87	85	85	85	82	81	86	88	90	90	90	90	87	90	87	88	84	85	86	84	82	84	86	90	92	90	90	88	85	87	87	86	87	88	89	89	88	89	90	89	87	87	87	89	86	87	91	88	88	87	88	89	91	87	87	87	87	89	86	87	89	89	89	90	88	86	90	88	88	87	85	85	84	84	84	81	81	82	83	83	82	83	84	83	83	84	83	82	81
80	82	82	84	83	83	83	83	83	82	83	84	85	85	86	83	86	84	86	84	86	85	85	86	85	83	85	85	86	83	85	84	82	86	86	85	83	84	83	83	85	84	86	85	85	86	86	85	85	87	87	86	87	88	85	85	86	85	85	85	86	86	86	85	87	88	86	86	87	89	87	86	85	87	87	86	86	84	86	85	85	84	86	87	88	89	86	89	91	88	87	89	89	87	87	86	87	86	84	84	86	84	84	85	85	86	84	86	86	85	88	88	87	87	89	87	87	88	87	86	86	86	86	89	89	85	86	87	88	88	86	85	87	86	86	85	86	86	88	88	87	88	89	88	86	87	88	89	87	88	89	87	87	87	90	89	87	89	90	90	88	90	89	85	89	88	89	89	89	86	85	83	85	84	84	86	90	90	88	88	87	86	86	89	85	85	84	85	83	83	86	88	92	90	91	88	86	88	86	87	88	86	87	90	90	88	90	89	90	90	88	86	87	89	88	88	88	89	88	87	89	87	89	86	87	88	88	88	88	88	87	88	89	88	88	87	87	88	87	86	86	83	83	84	85	83	82	82	84	84	84	84	84	83	83	84	84	83	80
82	82	82	83	82	83	84	84	84	84	85	84	83	85	85	84	86	87	85	85	85	86	85	85	84	83	85	85	84	82	85	84	82	85	84	85	82	83	84	84	84	85	87	85	86	86	86	86	85	85	86	87	86	86	84	85	87	88	86	85	86	86	86	84	85	87	86	87	87	87	86	85	85	88	87	86	87	86	87	85	86	86	87	86	89	89	86	86	87	87	87	89	89	88	86	87	87	85	85	86	84	85	84	84	84	84	85	86	87	86	86	88	87	87	89	87	87	89	88	86	85	85	85	88	89	86	87	88	88	89	87	87	87	87	87	86	85	86	88	88	87	89	89	88	87	87	87	89	87	88	89	88	86	89	90	89	89	90	89	91	89	90	89	87	87	88	87	88	87	86	86	83	86	89	88	90	92	89	87	88	86	85	85	88	86	84	82	85	87	91	91	91	89	90	88	86	86	87	86	87	86	86	86	87	87	89	88	88	90	89	88	87	87	89	86	87	90	87	87	87	89	87	89	86	87	87	88	89	87	88	87	90	88	88	88	87	89	87	88	88	86	84	85	84	84	83	81	81	82	84	84	84	84	83	83	85	83	83	82
82	83	82	83	83	83	82	83	84	84	84	82	83	85	84	83	83	85	86	85	85	84	84	85	83	82	83	84	84	82	84	83	82	84	85	85	83	83	83	84	86	84	85	84	86	87	85	84	86	85	85	85	85	86	84	86	85	86	85	86	86	86	87	85	85	86	88	87	88	87	87	85	86	87	87	85	88	86	86	85	86	84	86	87	87	88	88	88	87	88	87	89	89	87	87	87	86	86	84	83	85	87	86	85	85	84	84	86	86	86	89	86	87	87	92	88	87	88	87	88	87	87	86	87	87	87	88	87	86	88	86	87	87	88	87	85	85	86	89	89	86	88	89	88	89	89	86	86	88	89	88	87	86	87	89	89	88	91	88	90	89	90	89	88	87	88	86	87	87	85	85	86	90	90	93	92	92	88	85	87	85	84	86	87	86	85	87	92	94	91	91	89	90	87	88	87	87	90	85	86	87	87	88	87	88	88	89	90	90	89	88	86	87	87	89	88	90	87	87	88	89	89	89	87	87	86	87	88	87	87	88	88	89	89	88	88	88	88	88	88	85	85	85	84	84	82	81	82	83	84	84	84	83	81	84	85	84	82	82
81	82	81	82	83	83	82	84	85	84	84	83	85	86	84	83	85	86	86	86	85	86	86	85	84	83	84	84	84	84	85	83	81	86	87	83	81	83	83	85	86	84	87	86	87	86	85	84	84	86	85	84	87	86	82	86	85	86	87	86	86	85	87	85	86	87	87	87	88	88	86	86	85	87	85	85	86	87	84	85	86	86	88	88	88	88	85	88	88	87	86	89	89	89	89	89	86	86	84	86	86	85	85	85	86	85	84	87	86	87	86	87	88	87	89	88	86	86	87	89	87	87	87	87	89	87	88	88	89	88	89	87	88	87	86	87	84	87	87	88	87	88	89	88	89	90	88	90	86	86	89	88	86	90	91	89	87	91	88	91	89	89	86	87	88	87	86	86	89	86	91	89	92	94	89	90	90	87	83	85	83	83	82	89	88	89	91	92	91	92	88	86	88	87	88	86	85	88	87	89	85	87	87	88	91	89	88	89	90	88	87	87	89	86	86	87	88	87	87	87	88	88	92	87	87	89	89	88	85	89	88	89	88	88	87	88	87	87	89	90	85	85	86	85	85	83	82	82	83	84	85	85	84	82	83	84	82	82	81
82	83	82	82	82	83	84	84	83	83	84	83	85	86	87	84	86	86	86	84	86	85	86	84	83	83	84	84	85	85	85	85	81	86	84	84	82	84	84	86	85	85	87	85	85	84	84	85	85	86	84	86	85	86	83	84	86	87	85	87	87	86	87	86	87	87	86	86	87	87	85	86	85	85	88	86	86	86	85	85	84	85	87	88	88	88	86	88	87	87	87	88	88	90	88	87	86	86	85	84	85	85	86	84	84	83	87	86	88	86	88	90	90	89	90	88	87	87	88	87	86	86	85	88	88	87	87	87	89	89	86	86	88	87	86	86	86	87	89	88	88	89	90	88	87	88	88	91	87	88	88	87	86	88	90	90	88	90	89	90	87	88	84	85	87	84	85	84	88	91	95	95	91	91	89	88	86	85	82	83	83	83	83	91	91	93	92	91	89	87	87	87	88	86	86	86	89	89	87	88	88	87	89	89	90	89	89	89	90	90	86	85	89	89	88	89	91	88	88	88	90	87	89	88	88	87	87	88	87	88	89	90	89	91	89	87	88	86	86	87	85	86	83	84	85	84	84	83	84	85	84	82	82	82	84	84	82	82	82
82	82	81	81	81	83	83	84	84	84	84	86	86	85	86	83	86	86	85	84	86	85	85	85	85	84	84	85	86	83	85	84	81	85	84	85	82	83	84	85	84	85	86	86	86	86	86	86	85	86	85	84	86	87	84	86	87	88	86	86	87	88	87	85	86	88	88	87	88	87	87	85	83	85	88	85	86	85	85	86	86	86	87	87	88	88	86	87	88	87	87	87	88	88	87	87	87	86	84	87	86	86	85	84	85	85	86	88	86	85	86	89	86	87	88	87	88	89	86	85	85	86	87	88	90	88	88	89	87	88	87	88	87	86	85	86	86	87	87	87	86	87	89	87	87	87	88	89	87	88	89	89	86	87	89	89	89	89	86	88	86	86	84	84	85	87	88	90	93	92	93	91	87	88	83	86	86	85	82	85	86	86	90	93	92	91	89	91	88	87	89	87	87	88	88	86	88	88	85	85	85	87	88	88	87	89	89	88	91	91	88	87	89	88	87	88	87	87	88	87	88	90	89	88	88	88	89	89	86	88	87	88	88	89	89	87	89	87	87	89	86	84	85	84	83	82	82	82	83	83	84	83	83	82	83	82	82	82	82
82	82	82	83	81	83	83	84	85	85	84	84	85	85	86	83	82	85	85	85	84	85	83	84	83	82	85	83	85	85	86	83	81	84	84	84	82	84	83	84	84	83	86	84	86	86	86	86	86	87	86	87	84	87	83	84	86	86	86	87	86	86	87	87	86	88	88	87	87	87	88	88	86	86	87	84	87	86	86	85	86	86	86	86	87	88	85	88	88	88	87	89	90	87	88	86	88	85	85	83	85	85	85	85	85	84	87	87	88	86	86	87	88	88	87	85	85	87	87	86	85	87	86	87	88	88	88	88	87	90	86	88	86	86	85	86	87	86	89	88	87	88	89	88	87	88	88	89	86	89	86	87	88	87	91	90	86	89	87	87	85	86	84	87	88	93	93	93	93	90	86	88	84	85	81	84	84	83	84	88	90	92	93	93	90	87	88	87	87	88	87	88	89	88	89	89	88	89	87	86	87	87	88	90	91	89	90	88	89	88	87	86	88	89	87	87	88	86	88	88	88	88	89	87	88	87	89	89	85	89	87	88	88	89	89	88	88	88	87	87	84	84	85	85	85	83	82	81	82	84	82	82	83	83	85	83	83	84	82
82	82	83	84	82	84	84	83	84	83	83	82	82	83	85	83	86	86	85	85	86	85	85	84	83	81	84	84	84	84	86	84	83	85	84	85	83	84	83	85	86	85	85	86	85	88	87	85	85	85	86	88	85	88	84	85	85	88	86	88	88	86	85	85	87	88	87	87	88	87	88	85	85	88	88	85	87	86	85	85	85	87	86	87	88	87	87	87	88	88	87	88	88	87	89	87	87	87	84	85	86	85	85	84	85	85	85	87	86	86	86	87	87	87	90	86	86	87	87	86	85	86	86	88	89	86	86	87	88	88	87	87	87	85	85	86	87	85	88	88	87	88	89	88	88	89	87	88	88	88	88	87	86	87	87	87	85	87	86	89	87	89	90	92	94	91	91	91	88	86	85	81	81	84	80	84	86	87	88	92	91	90	91	91	89	86	88	90	86	87	87	87	86	86	87	88	88	89	87	85	85	89	88	89	90	88	89	89	91	89	88	86	87	89	86	86	87	85	87	86	88	88	90	87	88	89	89	90	88	87	88	89	89	89	89	88	88	90	89	88	86	84	85	83	84	83	82	82	82	82	82	83	85	83	83	84	83	83	82
84	83	82	83	82	83	84	83	84	84	83	83	83	84	85	82	87	87	85	84	85	84	84	83	83	83	86	87	84	85	85	83	81	83	85	85	81	83	84	86	85	85	85	85	86	86	86	86	85	84	86	86	86	88	84	84	87	88	87	89	88	86	86	85	86	86	87	88	88	87	86	86	85	88	88	85	86	86	85	84	84	84	86	87	88	89	86	86	88	87	87	90	88	88	88	87	86	86	84	86	83	83	86	85	85	85	85	86	86	85	89	87	88	87	87	86	86	87	88	88	87	86	86	88	88	87	87	88	88	87	87	87	87	86	85	86	88	87	88	88	87	87	90	90	87	87	85	90	85	88	87	87	86	86	85	85	85	90	89	91	91	94	93	92	94	85	86	86	84	82	82	79	79	84	84	91	93	90	88	89	88	87	88	90	88	88	87	89	89	87	88	87	89	90	88	88	86	89	87	87	87	88	88	88	91	86	88	89	89	87	88	88	89	87	87	87	88	88	87	88	88	89	89	87	86	88	88	89	88	90	89	90	90	88	88	89	87	88	88	88	85	85	86	84	85	84	83	82	83	84	83	83	83	82	83	83	82	83	84
82	82	82	83	83	84	83	83	83	83	84	84	83	84	87	83	87	86	83	84	84	86	84	86	85	82	85	84	85	83	86	84	82	86	84	85	83	83	84	84	85	83	85	85	86	87	85	84	84	85	85	87	87	84	84	86	84	88	86	86	88	87	87	85	86	86	86	87	88	87	87	86	85	87	88	84	85	86	87	85	86	86	88	87	88	89	87	87	90	89	89	89	91	90	87	87	87	86	84	86	85	86	86	85	85	85	86	88	86	87	88	88	86	87	89	87	88	88	88	88	88	86	85	87	89	88	87	88	88	89	89	88	87	87	88	87	86	86	87	87	87	87	87	88	89	89	87	90	86	88	86	86	84	85	86	85	86	89	86	93	94	95	94	93	91	86	86	86	82	83	80	80	80	87	87	92	92	90	88	87	88	89	89	90	90	88	88	91	89	87	90	88	87	89	88	87	85	90	87	87	85	88	88	88	90	90	89	87	89	89	86	87	89	89	87	88	87	87	87	87	89	88	90	88	87	87	88	87	88	89	86	87	88	89	88	88	88	88	88	88	85	85	86	85	84	82	80	82	83	84	84	83	83	82	83	84	83	82	82
82	83	82	84	83	83	83	83	83	83	83	83	84	85	84	83	85	84	85	85	84	85	85	85	85	84	87	85	85	84	85	83	81	85	85	85	82	84	85	86	84	84	86	85	85	86	85	86	86	86	86	87	84	85	85	85	84	85	85	87	88	85	86	86	87	87	87	87	87	87	87	86	85	88	88	84	86	86	87	86	86	86	87	87	87	89	86	89	90	86	88	87	89	86	88	87	86	85	84	84	86	86	86	85	85	85	84	87	86	85	89	87	88	87	89	87	87	87	85	86	86	86	85	88	88	86	87	86	86	87	86	88	87	87	85	84	84	86	88	87	86	86	87	87	88	89	87	89	86	88	85	83	83	86	91	89	90	93	92	95	91	92	88	86	84	77	79	79	76	77	75	79	85	92	90	90	90	90	89	88	87	88	88	91	89	87	87	90	88	88	88	89	88	90	92	89	86	88	87	88	84	87	88	88	88	89	89	89	89	89	86	86	88	88	87	89	90	86	88	87	88	89	89	86	87	87	86	89	86	89	87	89	88	89	90	89	89	88	86	89	87	83	85	84	84	83	82	82	83	84	84	85	83	81	81	82	83	83	82
81	83	83	82	82	82	81	84	84	82	83	82	84	85	86	85	88	85	86	85	84	85	85	86	85	82	84	85	86	84	85	83	81	84	82	85	82	84	83	84	87	85	85	84	85	86	86	85	85	85	87	87	86	85	84	85	86	88	87	87	87	86	87	86	86	86	86	86	87	87	87	86	86	89	86	86	88	85	86	86	85	85	87	87	87	88	86	88	89	89	88	89	88	88	88	86	86	86	86	86	85	85	85	85	85	85	84	86	86	87	88	87	88	87	90	88	87	88	87	86	86	87	86	88	89	86	87	87	88	90	89	87	87	88	87	86	87	86	87	88	88	88	89	88	88	89	88	89	85	89	84	84	85	90	93	91	90	95	94	94	89	88	84	83	80	75	78	81	78	83	84	88	90	93	91	89	90	87	86	88	86	87	89	89	88	87	87	90	89	88	89	88	86	90	89	87	86	89	87	87	88	87	88	88	89	89	89	88	90	89	86	87	88	89	88	88	88	87	87	88	89	88	88	87	89	89	89	87	87	88	87	87	88	88	89	88	88	89	87	88	87	85	85	83	84	82	81	82	82	83	83	83	82	81	83	84	84	82	81
83	84	83	84	83	84	83	85	84	82	83	84	84	86	86	82	85	84	85	85	85	87	86	85	84	84	84	84	85	83	85	83	81	85	84	84	83	83	84	83	83	84	85	85	85	85	86	85	86	84	85	86	86	84	83	88	85	88	88	87	87	87	88	85	86	87	87	87	87	88	88	87	84	87	88	85	86	86	84	85	86	86	88	87	88	87	86	86	89	89	87	87	87	88	88	87	87	85	86	86	85	85	85	84	85	84	84	87	86	85	87	86	86	88	89	86	86	88	86	86	87	87	86	86	86	88	87	88	88	89	89	87	87	86	85	87	84	86	87	87	86	86	87	87	87	89	87	88	84	84	87	88	88	92	95	93	93	95	88	89	84	81	78	76	79	75	77	82	83	89	93	92	92	91	88	87	89	88	87	87	87	89	89	92	90	88	87	88	89	88	89	86	87	87	91	85	87	88	87	87	88	88	88	88	90	88	88	89	91	89	88	86	88	89	86	88	88	86	88	89	89	86	90	87	88	87	87	89	86	87	89	89	88	89	89	87	88	88	88	90	85	82	84	83	84	82	82	81	81	82	82	82	82	82	83	85	85	84	83
81	83	83	83	84	84	83	83	84	84	83	83	84	85	85	83	85	83	83	84	84	85	85	85	85	83	87	86	85	84	84	83	82	85	84	85	82	84	83	86	83	84	84	83	85	86	86	86	85	86	86	86	85	87	84	85	86	89	87	87	88	86	86	86	87	87	86	86	86	87	86	86	86	88	86	87	87	85	86	84	85	86	86	86	88	87	85	87	88	88	89	89	89	87	87	87	86	85	85	84	84	86	85	85	85	84	85	86	86	85	88	88	88	86	87	86	86	87	87	88	86	88	87	87	89	87	87	88	89	89	86	85	86	87	87	87	86	86	87	86	85	88	89	88	87	87	85	88	89	89	93	92	94	92	95	94	89	88	83	83	77	77	75	75	78	75	85	92	93	93	94	88	88	89	86	88	89	87	86	88	88	87	88	89	88	88	88	89	88	89	89	89	88	87	87	89	86	89	87	88	86	87	88	89	89	87	89	89	90	90	87	86	88	89	87	87	89	86	89	88	90	87	89	86	88	89	88	88	88	86	87	90	88	88	87	87	88	88	88	87	85	83	84	82	83	82	82	82	83	84	85	84	83	81	83	84	83	82	81
81	83	83	84	83	84	83	84	84	84	84	85	87	86	85	82	84	83	85	84	86	85	84	85	86	85	85	85	85	84	85	83	81	85	84	84	83	83	83	85	85	85	83	85	86	85	85	85	84	85	86	86	85	85	83	86	86	87	86	86	86	85	86	86	88	88	86	85	86	87	88	87	85	86	86	84	85	86	86	85	85	87	87	87	87	88	88	87	89	89	87	89	88	88	88	88	87	84	85	84	84	85	84	85	84	83	86	85	87	87	86	87	89	88	87	86	87	87	88	87	86	88	85	88	88	86	87	87	87	89	89	88	87	87	86	85	84	86	88	87	86	87	88	88	84	86	85	87	89	89	92	90	92	93	94	93	90	90	83	82	79	79	77	77	84	82	92	94	93	91	93	87	88	89	87	87	91	90	86	87	86	86	88	89	89	89	88	89	88	88	89	87	88	88	90	87	85	89	88	88	85	88	88	89	90	90	88	89	91	89	89	87	88	89	87	88	90	88	86	88	89	87	89	87	88	89	88	88	86	89	88	89	89	88	89	89	88	88	87	88	86	83	84	84	84	82	83	82	82	84	85	84	83	82	83	84	84	83	81
82	83	82	84	83	84	83	84	84	84	84	84	85	85	85	81	83	83	84	84	84	86	85	86	86	83	84	86	85	84	86	82	80	84	84	85	83	83	82	84	85	86	87	85	85	87	86	85	86	85	86	83	85	87	86	84	85	86	86	86	88	85	86	86	86	86	87	88	87	87	87	85	84	87	86	84	86	86	85	84	85	85	86	87	87	88	85	87	88	87	88	88	88	87	87	86	86	84	84	87	86	85	85	84	86	85	85	88	88	86	86	87	87	85	87	87	87	88	88	88	87	86	85	85	90	88	89	88	88	89	88	87	87	86	86	85	84	86	86	87	85	87	89	87	85	86	87	88	91	90	92	90	90	92	91	91	87	85	79	80	77	77	77	80	87	88	92	92	91	88	88	86	87	89	85	88	88	88	88	87	87	87	88	89	88	88	88	89	89	86	86	86	87	87	88	87	86	88	88	87	86	87	87	88	90	88	88	89	89	90	87	88	88	88	86	89	91	87	87	87	88	86	90	87	87	87	87	89	84	88	88	90	88	88	88	87	90	87	87	86	85	84	86	82	82	83	82	81	83	83	82	82	83	82	81	84	84	83	82
82	83	82	82	81	84	83	83	84	85	85	84	85	85	85	82	82	85	85	85	85	86	84	85	85	83	86	85	85	83	84	83	82	84	84	84	82	83	84	83	83	84	87	84	86	87	86	85	85	84	85	86	86	88	85	86	85	86	86	85	85	85	86	85	86	87	87	87	87	87	87	87	86	85	86	84	86	86	85	86	85	87	85	87	88	88	86	89	88	87	88	88	90	88	88	87	85	85	84	85	86	86	86	84	85	85	85	87	86	85	87	87	89	87	88	88	86	87	86	85	86	86	86	88	89	86	87	88	89	90	86	87	86	87	86	84	85	84	86	87	86	85	86	86	85	85	89	90	91	89	92	90	93	91	88	90	85	84	80	82	79	80	80	87	92	92	91	91	90	87	88	86	89	88	87	87	88	88	88	88	87	88	90	90	89	88	87	87	87	89	88	87	90	89	86	88	85	88	86	88	87	87	88	89	91	89	89	90	89	89	88	88	87	89	88	88	88	88	89	87	87	88	89	89	87	87	89	89	88	87	89	90	89	89	90	87	87	87	88	89	86	85	87	85	83	81	82	82	83	84	82	83	83	82	82	83	84	83	82
83	84	83	84	83	84	83	84	84	83	83	82	84	85	82	81	83	85	85	84	85	86	85	85	85	84	85	87	85	84	84	85	81	82	83	84	82	82	84	84	87	85	87	85	86	86	85	84	85	86	86	86	87	86	84	86	87	85	86	87	88	87	87	85	87	86	86	86	87	88	87	85	86	87	86	82	85	85	86	86	85	86	86	86	87	88	86	89	89	87	87	87	89	87	88	85	86	86	83	87	85	84	85	86	86	84	84	87	85	86	88	87	87	88	89	87	86	87	86	86	86	87	86	88	89	88	87	87	88	88	89	87	89	87	84	85	85	85	86	86	85	85	86	84	86	86	88	89	90	90	93	92	94	91	87	89	85	85	79	82	82	84	84	87	89	91	90	89	90	88	89	88	89	89	87	87	88	87	86	89	86	87	89	90	90	88	88	89	88	88	87	87	88	88	87	86	87	87	87	88	87	88	88	89	91	88	89	88	89	89	86	86	86	89	86	88	89	88	87	86	91	87	89	87	88	89	89	87	86	88	88	89	89	87	89	87	87	88	87	89	85	84	85	84	84	83	83	82	82	83	84	84	84	82	83	83	84	83	83
81	84	83	85	83	84	85	84	84	83	82	82	82	84	83	82	85	84	85	85	86	87	87	85	85	84	86	87	84	84	86	83	81	83	83	84	82	82	84	85	84	84	86	85	87	87	87	85	86	86	86	86	85	86	83	86	87	86	88	85	86	85	85	85	86	87	88	87	88	87	90	86	84	86	87	83	84	84	87	87	86	85	86	86	87	87	86	86	89	88	86	88	88	87	87	85	87	84	83	86	85	87	87	86	85	84	86	86	86	87	88	88	88	87	88	87	87	88	86	87	87	85	86	88	88	87	88	87	86	89	87	86	85	87	86	85	84	85	87	86	83	85	86	86	90	90	92	94	93	94	93	92	89	83	82	83	80	80	79	82	83	88	89	89	88	86	89	90	90	88	90	86	88	89	88	87	89	87	87	86	86	87	89	89	89	88	88	89	89	87	88	85	88	87	88	86	86	89	87	86	89	87	89	89	91	88	87	88	89	89	87	87	88	87	86	87	90	87	87	87	88	88	89	87	87	86	88	88	89	87	88	90	90	90	87	88	90	89	89	89	85	83	85	85	83	82	81	82	83	83	83	84	84	83	83	83	83	83	81
81	83	83	83	84	84	83	84	85	83	83	83	84	85	85	84	83	84	85	86	87	88	86	87	85	84	87	84	85	83	84	82	81	84	83	85	82	84	83	84	86	86	87	84	87	86	85	85	85	85	85	85	86	84	83	84	86	86	87	86	86	87	87	85	87	88	88	87	88	88	86	87	85	87	84	84	86	87	86	85	85	86	87	87	88	88	86	87	89	88	86	89	89	86	88	86	86	86	84	86	87	85	86	85	85	84	84	86	86	86	87	88	87	85	88	87	87	86	86	87	87	86	88	88	90	87	87	87	87	88	87	87	86	85	85	85	83	83	85	84	85	91	93	91	92	94	94	94	90	91	83	85	78	76	78	79	76	79	82	89	90	91	88	87	88	88	89	89	89	88	90	89	88	88	87	88	87	86	86	87	87	87	87	89	87	88	87	90	88	86	90	87	87	88	89	86	85	88	87	87	87	87	88	90	91	90	87	88	89	89	87	86	90	88	87	87	90	87	87	87	90	87	90	87	87	88	88	87	87	87	89	90	88	89	90	88	87	88	88	87	85	85	86	83	84	83	83	83	83	83	83	83	84	83	83	84	84	83	81
83	85	83	83	84	84	84	82	83	83	83	83	84	84	85	82	86	84	84	86	88	85	84	86	86	83	84	84	85	84	85	83	81	83	85	86	83	84	85	84	84	84	87	85	87	86	84	84	85	87	86	84	84	86	83	84	86	85	86	88	87	86	86	85	86	87	87	86	86	87	89	86	85	88	86	83	85	86	88	86	86	85	85	86	88	89	87	87	88	87	87	89	90	86	87	86	85	84	86	86	86	85	86	86	85	85	84	85	87	87	88	87	88	87	88	87	86	89	88	88	88	88	86	88	87	87	88	87	87	88	86	86	86	87	85	85	81	85	88	90	89	94	95	94	93	93	89	91	79	84	79	79	75	75	77	78	77	82	85	92	91	90	87	88	89	88	89	88	89	89	89	88	87	90	87	87	87	87	85	87	88	88	88	90	87	88	89	89	89	88	88	87	88	88	89	88	86	88	87	88	87	87	87	89	90	90	90	88	90	90	89	88	87	87	85	88	88	88	88	87	87	88	91	88	88	88	89	89	87	87	89	91	89	88	89	87	89	88	88	88	86	85	84	84	84	83	81	81	83	84	85	83	83	82	83	84	84	84	83
